zip_code,actual_county,puma_county,puma_code
96789,Honolulu,Honolulu,301.0
96789,Honolulu,Honolulu,302.0
96790,Honolulu,Honolulu,304.0
96790,Honolulu,Honolulu,305.0
96790,Honolulu,Honolulu,307.0
96790,Honolulu,Honolulu,303.0
96790,Honolulu,Honolulu,306.0
96790,Honolulu,Honolulu,308.0
96790,Honolulu,Honolulu,301.0
96790,Honolulu,Honolulu,302.0
96791,Honolulu,Honolulu,304.0
96791,Honolulu,Honolulu,305.0
96791,Honolulu,Honolulu,307.0
96791,Honolulu,Honolulu,303.0
96791,Honolulu,Honolulu,306.0
96791,Honolulu,Honolulu,308.0
96791,Honolulu,Honolulu,301.0
96791,Honolulu,Honolulu,302.0
96792,Honolulu,Honolulu,304.0
